trial_id,Val_loss,epoch,time_this_iter_s,done,training_iteration,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/batch_size,config/epochs,config/loss_function,config/lr0,config/patience,config/factor,config/minlr,config/betas,config/eps,config/weight_decay,config/amsgrad,config/dim,config/bias,config/n_conv
3e7cf_00215,32.89822301510828,60,0.6489307880401611,True,60,2023-06-29_00-26-05,1687994765,58.17968034744263,13770,storm.cs.nott.ac.uk,10.148.136.74,58.17968034744263,60,"215_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,False,3
3e7cf_00216,38.30239546963179,15,0.5961384773254395,True,15,2023-06-29_00-26-40,1687994800,28.4034526348114,14534,storm.cs.nott.ac.uk,10.148.136.74,28.4034526348114,15,"216_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0500,n_conv=1",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,True,1
3e7cf_00217,41.1779643164225,15,0.590897798538208,True,15,2023-06-29_00-27-14,1687994834,28.352229118347168,14941,storm.cs.nott.ac.uk,10.148.136.74,28.352229118347168,15,"217_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0500,n_conv=1",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,False,1
3e7cf_00218,28.325756114131774,240,0.6155228614807129,True,240,2023-06-29_00-30-00,1687995000,159.52132844924927,15389,storm.cs.nott.ac.uk,10.148.136.74,159.52132844924927,240,"218_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0500,n_conv=1",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,True,1
3e7cf_00219,38.35116683447416,15,0.6097137928009033,True,15,2023-06-29_00-30-37,1687995037,28.74843430519104,18327,storm.cs.nott.ac.uk,10.148.136.74,28.74843430519104,15,"219_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0500,n_conv=1",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,False,1
3e7cf_00220,38.57766838420845,15,0.5927700996398926,True,15,2023-06-29_00-31-12,1687995072,28.388383865356445,18848,storm.cs.nott.ac.uk,10.148.136.74,28.388383865356445,15,"220_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0500,n_conv=1",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,True,1
3e7cf_00221,19.437773286766703,960,0.568809986114502,True,960,2023-06-29_00-40-58,1687995658,579.730429649353,19263,storm.cs.nott.ac.uk,10.148.136.74,579.730429649353,960,"221_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0500,n_conv=1",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,True,1
3e7cf_00222,38.88094693317396,15,0.5841329097747803,True,15,2023-06-29_00-41-34,1687995694,28.53398060798645,25212,storm.cs.nott.ac.uk,10.148.136.74,28.53398060798645,15,"222_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0100,n_conv=1",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,False,1
3e7cf_00223,38.485261387463225,15,0.5646822452545166,True,15,2023-06-29_00-42-09,1687995729,28.1567542552948,25720,storm.cs.nott.ac.uk,10.148.136.74,28.1567542552948,15,"223_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0100,n_conv=1",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,False,1
3e7cf_00224,38.66832681167954,15,0.5626327991485596,True,15,2023-06-29_00-42-43,1687995763,27.80318284034729,26149,storm.cs.nott.ac.uk,10.148.136.74,27.80318284034729,15,"224_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0100,n_conv=1",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,True,1
3e7cf_00225,38.90842005563393,15,0.5678443908691406,True,15,2023-06-29_00-43-17,1687995797,28.72763156890869,26584,storm.cs.nott.ac.uk,10.148.136.74,28.72763156890869,15,"225_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0100,n_conv=1",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,False,1
3e7cf_00226,38.468104908485245,15,0.5713763236999512,True,15,2023-06-29_00-43-52,1687995832,28.302356004714966,27051,storm.cs.nott.ac.uk,10.148.136.74,28.302356004714966,15,"226_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0100,n_conv=1",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,True,1
3e7cf_00227,38.68724073940459,15,0.5776872634887695,True,15,2023-06-29_00-44-26,1687995866,28.02376627922058,27546,storm.cs.nott.ac.uk,10.148.136.74,28.02376627922058,15,"227_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0100,n_conv=1",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,True,1
3e7cf_00228,39.03096007042241,15,0.5799481868743896,True,15,2023-06-29_00-45-01,1687995901,28.35175347328186,30134,storm.cs.nott.ac.uk,10.148.136.74,28.35175347328186,15,"228_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0050,n_conv=1",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,True,1
3e7cf_00229,39.200879486697374,15,0.5695805549621582,True,15,2023-06-29_00-45-36,1687995936,28.212501287460327,30575,storm.cs.nott.ac.uk,10.148.136.74,28.212501287460327,15,"229_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0050,n_conv=1",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,True,1
3e7cf_00230,38.74454659444333,15,0.5731081962585449,True,15,2023-06-29_00-46-10,1687995970,28.34234595298767,31013,storm.cs.nott.ac.uk,10.148.136.74,28.34234595298767,15,"230_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0050,n_conv=1",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,False,1
3e7cf_00231,39.03104440019648,15,0.581742525100708,True,15,2023-06-29_00-46-45,1687996005,28.07813549041748,31463,storm.cs.nott.ac.uk,10.148.136.74,28.07813549041748,15,"231_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0050,n_conv=1",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,True,1
3e7cf_00232,39.20114496291428,15,0.5981137752532959,True,15,2023-06-29_00-47-19,1687996039,28.141406536102295,31883,storm.cs.nott.ac.uk,10.148.136.74,28.141406536102295,15,"232_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0050,n_conv=1",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,True,1
3e7cf_00233,38.74663096402121,15,0.5779111385345459,True,15,2023-06-29_00-47-54,1687996074,28.190361499786377,32334,storm.cs.nott.ac.uk,10.148.136.74,28.190361499786377,15,"233_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0050,n_conv=1",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,False,1
3e7cf_00234,32.31025973893811,60,0.6092381477355957,True,60,2023-06-29_00-48-56,1687996136,56.19332814216614,32755,storm.cs.nott.ac.uk,10.148.136.74,56.19332814216614,60,"234_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0500,n_conv=2",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,False,2
3e7cf_00235,38.387761858272384,15,0.6276111602783203,True,15,2023-06-29_00-49-32,1687996172,28.813932418823242,1049,storm.cs.nott.ac.uk,10.148.136.74,28.813932418823242,15,"235_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0500,n_conv=2",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,True,2
3e7cf_00236,47.40018268933265,15,0.8267881870269775,True,15,2023-06-29_00-50-07,1687996207,29.187867403030396,1555,storm.cs.nott.ac.uk,10.148.136.74,29.187867403030396,15,"236_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0500,n_conv=2",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,False,2
3e7cf_00237,35.12000788929328,60,0.6197550296783447,True,60,2023-06-29_00-51-09,1687996269,56.392510414123535,2017,storm.cs.nott.ac.uk,10.148.136.74,56.392510414123535,60,"237_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0500,n_conv=2",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,False,2
3e7cf_00238,39.968742696611834,15,0.6341876983642578,True,15,2023-06-29_00-51-45,1687996305,28.86502194404602,2764,storm.cs.nott.ac.uk,10.148.136.74,28.86502194404602,15,"238_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0500,n_conv=2",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,False,2
3e7cf_00239,44.3795234923961,15,0.6187493801116943,True,15,2023-06-29_00-52-19,1687996339,28.89807939529419,3255,storm.cs.nott.ac.uk,10.148.136.74,28.89807939529419,15,"239_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0500,n_conv=2",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,True,2
3e7cf_00240,38.51749607781369,15,0.6065273284912109,True,15,2023-06-29_00-52-55,1687996375,28.775825262069702,3954,storm.cs.nott.ac.uk,10.148.136.74,28.775825262069702,15,"240_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0100,n_conv=2",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,True,2
3e7cf_00241,38.6249815643497,15,0.5845088958740234,True,15,2023-06-29_00-53-29,1687996409,28.536514282226562,4406,storm.cs.nott.ac.uk,10.148.136.74,28.536514282226562,15,"241_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0100,n_conv=2",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,True,2
3e7cf_00242,47.1619800640761,15,0.6098921298980713,True,15,2023-06-29_00-54-04,1687996444,28.57226300239563,4836,storm.cs.nott.ac.uk,10.148.136.74,28.57226300239563,15,"242_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0100,n_conv=2",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,True,2
3e7cf_00243,38.499084519211216,15,0.611752986907959,True,15,2023-06-29_00-54-38,1687996478,28.351821660995483,5279,storm.cs.nott.ac.uk,10.148.136.74,28.351821660995483,15,"243_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0100,n_conv=2",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,False,2
3e7cf_00244,38.545542648388846,15,0.6056694984436035,True,15,2023-06-29_00-55-13,1687996513,28.28239130973816,5706,storm.cs.nott.ac.uk,10.148.136.74,28.28239130973816,15,"244_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0100,n_conv=2",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,False,2
3e7cf_00245,46.59077857485374,15,0.6616837978363037,True,15,2023-06-29_00-55-48,1687996548,28.955034971237183,6160,storm.cs.nott.ac.uk,10.148.136.74,28.955034971237183,15,"245_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0100,n_conv=2",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,False,2
3e7cf_00246,38.36897072931155,15,0.612311601638794,True,15,2023-06-29_00-56-23,1687996583,28.97343158721924,6593,storm.cs.nott.ac.uk,10.148.136.74,28.97343158721924,15,"246_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0050,n_conv=2",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,True,2
3e7cf_00247,39.284134712824,15,0.612419843673706,True,15,2023-06-29_00-56-57,1687996617,28.78565287590027,7048,storm.cs.nott.ac.uk,10.148.136.74,28.78565287590027,15,"247_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0050,n_conv=2",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,False,2
3e7cf_00248,42.803403996104784,15,0.6086204051971436,True,15,2023-06-29_00-57-33,1687996653,28.77729368209839,7482,storm.cs.nott.ac.uk,10.148.136.74,28.77729368209839,15,"248_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0050,n_conv=2",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,True,2
3e7cf_00249,38.356548891953445,15,0.6178610324859619,True,15,2023-06-29_00-58-08,1687996688,28.92419719696045,7935,storm.cs.nott.ac.uk,10.148.136.74,28.92419719696045,15,"249_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0050,n_conv=2",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,True,2
3e7cf_00250,39.27611931427772,15,0.6230204105377197,True,15,2023-06-29_00-58-43,1687996723,28.70978021621704,8403,storm.cs.nott.ac.uk,10.148.136.74,28.70978021621704,15,"250_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0050,n_conv=2",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,False,2
3e7cf_00251,42.90925834655294,15,0.603050947189331,True,15,2023-06-29_00-59-18,1687996758,28.992088794708252,8843,storm.cs.nott.ac.uk,10.148.136.74,28.992088794708252,15,"251_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0050,n_conv=2",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,True,2
3e7cf_00252,35.25124989051325,60,0.6326980590820312,True,60,2023-06-29_01-00-22,1687996822,57.40194582939148,9317,storm.cs.nott.ac.uk,10.148.136.74,57.40194582939148,60,"252_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0500,n_conv=3",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,True,3
3e7cf_00253,48.66784185490543,60,0.6777524948120117,True,60,2023-06-29_01-01-27,1687996887,58.22418522834778,10041,storm.cs.nott.ac.uk,10.148.136.74,58.22418522834778,60,"253_amsgrad=False,batch_size=40,bias=False,dim=64,eps=0.0000,lr0=0.0500,n_conv=3",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,False,3
3e7cf_00254,36.600873031590275,60,0.5973048210144043,True,60,2023-06-29_01-02-31,1687996951,57.98345685005188,10799,storm.cs.nott.ac.uk,10.148.136.74,57.98345685005188,60,"254_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0500,n_conv=3",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,False,3
3e7cf_00255,36.93368690124693,60,0.6317234039306641,True,60,2023-06-29_01-03-36,1687997016,57.62544274330139,11617,storm.cs.nott.ac.uk,10.148.136.74,57.62544274330139,60,"255_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0500,n_conv=3",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,False,3
3e7cf_00256,33.82215167686521,60,0.6619467735290527,True,60,2023-06-29_01-04-41,1687997081,58.99867653846741,12334,storm.cs.nott.ac.uk,10.148.136.74,58.99867653846741,60,"256_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0500,n_conv=3",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,True,3
3e7cf_00257,35.180940253118926,60,0.6421337127685547,True,60,2023-06-29_01-05-46,1687997146,57.772496700286865,13118,storm.cs.nott.ac.uk,10.148.136.74,57.772496700286865,60,"257_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0500,n_conv=3",40,1500,MSELoss(),0.05,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,True,3
3e7cf_00258,38.6563234998364,15,0.6450936794281006,True,15,2023-06-29_01-06-23,1687997183,29.166688680648804,13867,storm.cs.nott.ac.uk,10.148.136.74,29.166688680648804,15,"258_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0100,n_conv=3",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,False,3
3e7cf_00259,35.280061321855264,60,0.6438238620758057,True,60,2023-06-29_01-07-26,1687997246,57.49423909187317,14316,storm.cs.nott.ac.uk,10.148.136.74,57.49423909187317,60,"259_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0100,n_conv=3",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,True,3
3e7cf_00260,38.24170992960601,15,0.6514995098114014,True,15,2023-06-29_01-08-02,1687997282,29.221011638641357,15064,storm.cs.nott.ac.uk,10.148.136.74,29.221011638641357,15,"260_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0100,n_conv=3",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,False,3
3e7cf_00261,38.384507962900976,15,0.6157259941101074,True,15,2023-06-29_01-08-37,1687997317,29.18754768371582,15517,storm.cs.nott.ac.uk,10.148.136.74,29.18754768371582,15,"261_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0100,n_conv=3",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,True,3
3e7cf_00262,34.125447192914486,60,0.6609413623809814,True,60,2023-06-29_01-09-41,1687997381,57.80901050567627,15921,storm.cs.nott.ac.uk,10.148.136.74,57.80901050567627,60,"262_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0100,n_conv=3",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,True,3
3e7cf_00263,35.876153087611215,60,0.6179618835449219,True,60,2023-06-29_01-10-45,1687997445,57.18885135650635,16681,storm.cs.nott.ac.uk,10.148.136.74,57.18885135650635,60,"263_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0100,n_conv=3",40,1500,MSELoss(),0.01,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,False,3
3e7cf_00264,38.50969853186414,15,0.6021761894226074,True,15,2023-06-29_01-11-20,1687997480,29.051228284835815,17421,storm.cs.nott.ac.uk,10.148.136.74,29.051228284835815,15,"264_amsgrad=False,batch_size=40,bias=True,dim=32,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,32,True,3
3e7cf_00265,38.491546259895756,15,0.6493558883666992,True,15,2023-06-29_01-11-56,1687997516,29.083184242248535,17874,storm.cs.nott.ac.uk,10.148.136.74,29.083184242248535,15,"265_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,64,True,3
3e7cf_00266,36.5509019253384,60,0.6408023834228516,True,60,2023-06-29_01-13-01,1687997581,58.4763240814209,18308,storm.cs.nott.ac.uk,10.148.136.74,58.4763240814209,60,"266_amsgrad=False,batch_size=40,bias=True,dim=128,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-08,0,False,128,True,3
3e7cf_00267,38.55785411509045,15,0.6382465362548828,True,15,2023-06-29_01-13-36,1687997616,29.12442970275879,19060,storm.cs.nott.ac.uk,10.148.136.74,29.12442970275879,15,"267_amsgrad=False,batch_size=40,bias=False,dim=32,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,32,False,3
3e7cf_00268,38.42977219396123,15,0.6606755256652832,True,15,2023-06-29_01-14-12,1687997652,29.40851640701294,19547,storm.cs.nott.ac.uk,10.148.136.74,29.40851640701294,15,"268_amsgrad=False,batch_size=40,bias=True,dim=64,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,64,True,3
3e7cf_00269,33.50232606767228,60,0.6227807998657227,True,60,2023-06-29_01-15-17,1687997717,58.220086097717285,20003,storm.cs.nott.ac.uk,10.148.136.74,58.220086097717285,60,"269_amsgrad=False,batch_size=40,bias=False,dim=128,eps=0.0000,lr0=0.0050,n_conv=3",40,1500,MSELoss(),0.005,0,0.5,1e-08,"(0.9, 0.999)",1e-09,0,False,128,False,3
